epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,8199.47,0.79858,0.5819,0.95369,0.83659,0.86581,0.92008,0.75818,0.73581,0.49289,0.90493,0.002971,0.002971,0.002971
73,8429.55,0.79729,0.57911,0.95179,0.83796,0.86724,0.92028,0.7589,0.73561,0.49217,0.90506,0.002872,0.002872,0.002872
74,8670.03,0.7981,0.57866,0.95268,0.8362,0.86641,0.92027,0.75864,0.73552,0.4921,0.90517,0.002773,0.002773,0.002773
75,8914.15,0.79561,0.57778,0.95201,0.83735,0.86581,0.92032,0.7588,0.73567,0.4917,0.90533,0.002674,0.002674,0.002674
76,9140.14,0.79428,0.57524,0.94899,0.83955,0.86553,0.9206,0.75903,0.73499,0.49088,0.90484,0.002575,0.002575,0.002575
77,9373.02,0.79121,0.57294,0.94907,0.83681,0.86845,0.92094,0.75945,0.73477,0.49013,0.90456,0.002476,0.002476,0.002476
78,9608.54,0.79059,0.57072,0.95064,0.83827,0.86616,0.92116,0.75948,0.73437,0.48982,0.90441,0.002377,0.002377,0.002377
79,9842.02,0.78955,0.56889,0.95011,0.83985,0.8676,0.9213,0.75937,0.73434,0.4893,0.90447,0.002278,0.002278,0.002278
80,10074.6,0.78693,0.56801,0.95021,0.84106,0.86581,0.92168,0.75983,0.7339,0.48806,0.90454,0.002179,0.002179,0.002179
81,10313.5,0.78697,0.56524,0.94885,0.84472,0.86545,0.92193,0.7601,0.73374,0.48756,0.90447,0.00208,0.00208,0.00208
82,10547.6,0.78591,0.56473,0.94531,0.84459,0.86724,0.92224,0.76031,0.73342,0.48736,0.90399,0.001981,0.001981,0.001981
83,10783.9,0.78052,0.55918,0.94591,0.84631,0.86538,0.92233,0.76061,0.73332,0.48723,0.90391,0.001882,0.001882,0.001882
84,11009.1,0.78113,0.55841,0.94456,0.84481,0.86726,0.92241,0.76101,0.73296,0.48641,0.90368,0.001783,0.001783,0.001783
85,11233.2,0.77989,0.5566,0.94355,0.84349,0.86903,0.92251,0.76121,0.73301,0.48586,0.90353,0.001684,0.001684,0.001684
86,11461.5,0.78221,0.55475,0.94335,0.84467,0.86903,0.92266,0.76144,0.73279,0.4859,0.90318,0.001585,0.001585,0.001585
87,11689.2,0.77758,0.55312,0.9413,0.84306,0.86868,0.92291,0.76134,0.73243,0.48523,0.90284,0.001486,0.001486,0.001486
88,11912.3,0.7771,0.55346,0.94183,0.84328,0.86796,0.92301,0.76192,0.73236,0.48505,0.90269,0.001387,0.001387,0.001387
89,12140.3,0.77586,0.55132,0.94126,0.84252,0.86903,0.92313,0.76188,0.73199,0.48395,0.90255,0.001288,0.001288,0.001288
90,12368.2,0.77334,0.54635,0.93987,0.84443,0.86665,0.92319,0.76222,0.7317,0.48387,0.90217,0.001189,0.001189,0.001189
91,12622.2,0.74399,0.49455,0.92365,0.84242,0.87083,0.92348,0.7631,0.7312,0.48306,0.90191,0.00109,0.00109,0.00109
92,12844.4,0.74107,0.49089,0.92073,0.84287,0.86939,0.92378,0.7638,0.73097,0.48241,0.90169,0.000991,0.000991,0.000991
93,13069.9,0.73814,0.4871,0.91987,0.846,0.86926,0.9239,0.76406,0.73016,0.48174,0.9012,0.000892,0.000892,0.000892
94,13292.5,0.73714,0.48439,0.91821,0.84577,0.86772,0.92422,0.76418,0.72942,0.48145,0.90063,0.000793,0.000793,0.000793
95,13515.4,0.73437,0.48091,0.92067,0.84529,0.86846,0.92479,0.76522,0.72893,0.48027,0.90042,0.000694,0.000694,0.000694
96,13733,0.73211,0.47872,0.91894,0.84664,0.8676,0.92519,0.76584,0.72838,0.47937,0.90017,0.000595,0.000595,0.000595
97,13957.6,0.72938,0.47513,0.91762,0.84904,0.86575,0.92562,0.76595,0.72755,0.47905,0.89986,0.000496,0.000496,0.000496
98,14182.2,0.72886,0.47235,0.91559,0.84834,0.86652,0.92591,0.76669,0.72721,0.47849,0.89959,0.000397,0.000397,0.000397
99,14406.8,0.72474,0.47025,0.915,0.8541,0.86222,0.92641,0.76713,0.72707,0.47799,0.89952,0.000298,0.000298,0.000298
100,14640.9,0.72329,0.46669,0.91477,0.85445,0.86222,0.92683,0.76787,0.72661,0.47716,0.89934,0.000199,0.000199,0.000199
