epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,10216.1,1.15681,2.75001,1.21422,1.15411,0.73949,0.5851,0.68551,0.49203,0.77503,0.5347,0.63875,0.3898,1.04136,2.60868,0.96376,1.06563,0.003565,0.003565,0.003565
67,10366,1.15918,2.74662,1.21865,1.15554,0.74225,0.58203,0.68617,0.49262,0.77722,0.53047,0.63938,0.39012,1.03996,2.60845,0.96347,1.0648,0.003466,0.003466,0.003466
68,10516.9,1.14727,2.73203,1.20259,1.15076,0.74269,0.58017,0.68607,0.49335,0.77728,0.5327,0.64051,0.39096,1.03963,2.60869,0.96262,1.06463,0.003367,0.003367,0.003367
69,10668.9,1.14921,2.72705,1.20219,1.15242,0.74342,0.57955,0.68648,0.49339,0.76307,0.54647,0.64,0.39091,1.03867,2.61019,0.96117,1.06377,0.003268,0.003268,0.003268
70,10822.1,1.14807,2.71796,1.18995,1.15422,0.74018,0.58102,0.68728,0.49368,0.77224,0.54072,0.64017,0.39051,1.03835,2.60961,0.95982,1.06363,0.003169,0.003169,0.003169
71,10978.8,1.14498,2.72237,1.19524,1.1507,0.74441,0.58063,0.68748,0.49372,0.77438,0.54067,0.64028,0.39075,1.03786,2.60883,0.9589,1.06322,0.00307,0.00307,0.00307
72,11139.2,1.14269,2.71477,1.19262,1.14961,0.73837,0.58168,0.68845,0.49335,0.7708,0.54007,0.63872,0.391,1.03762,2.60979,0.95795,1.0633,0.002971,0.002971,0.002971
73,11299.7,1.14212,2.7192,1.19343,1.14852,0.74421,0.57988,0.68848,0.49371,0.77534,0.54005,0.63935,0.39113,1.03744,2.61048,0.95743,1.06304,0.002872,0.002872,0.002872
74,11459.8,1.13899,2.7177,1.1865,1.14502,0.7383,0.58202,0.68812,0.49384,0.76978,0.54218,0.63943,0.39127,1.0365,2.61036,0.95639,1.06251,0.002773,0.002773,0.002773
75,11620.5,1.13279,2.69799,1.17511,1.14198,0.73733,0.58318,0.68779,0.49412,0.77138,0.53907,0.63963,0.39183,1.03657,2.60761,0.95584,1.06252,0.002674,0.002674,0.002674
76,11780.9,1.13952,2.69914,1.17932,1.14515,0.73671,0.58493,0.68802,0.49408,0.76931,0.54141,0.64127,0.39238,1.03553,2.61161,0.95429,1.06192,0.002575,0.002575,0.002575
77,11942.9,1.12617,2.69062,1.16909,1.14404,0.73147,0.58905,0.68822,0.49489,0.77058,0.54006,0.64122,0.39224,1.03515,2.61141,0.95369,1.06182,0.002476,0.002476,0.002476
78,12103.2,1.12866,2.69542,1.16479,1.13718,0.73984,0.58172,0.68773,0.49508,0.77077,0.54043,0.64064,0.39281,1.0348,2.6117,0.95285,1.06133,0.002377,0.002377,0.002377
79,12263.3,1.12882,2.69843,1.16676,1.14068,0.73991,0.58216,0.68766,0.49475,0.76635,0.54029,0.64092,0.3924,1.03459,2.61046,0.95209,1.06116,0.002278,0.002278,0.002278
80,12423.1,1.12351,2.67215,1.1539,1.13458,0.74608,0.57917,0.68791,0.49546,0.7622,0.54193,0.64241,0.39342,1.03384,2.61235,0.95149,1.06091,0.002179,0.002179,0.002179
81,12583.1,1.12936,2.69716,1.16637,1.1374,0.74696,0.5788,0.68876,0.49601,0.76147,0.54313,0.64254,0.39334,1.03323,2.61021,0.95044,1.06045,0.00208,0.00208,0.00208
82,12743.4,1.12796,2.68253,1.1535,1.1387,0.74225,0.57791,0.68875,0.49683,0.7633,0.54308,0.64277,0.39389,1.03332,2.61141,0.95004,1.06027,0.001981,0.001981,0.001981
83,12904.2,1.12324,2.6643,1.14542,1.13415,0.73875,0.58321,0.68915,0.4971,0.7685,0.54241,0.6437,0.39376,1.03269,2.60992,0.94952,1.06003,0.001882,0.001882,0.001882
84,13065.6,1.1237,2.67601,1.15351,1.13378,0.73781,0.58435,0.69032,0.4977,0.77109,0.54322,0.64391,0.39397,1.03247,2.61115,0.94852,1.05972,0.001783,0.001783,0.001783
85,13228.4,1.1119,2.66353,1.1373,1.12893,0.71182,0.60246,0.69048,0.49813,0.77224,0.54309,0.6442,0.3938,1.03245,2.61268,0.94812,1.05965,0.001684,0.001684,0.001684
86,13390.4,1.11186,2.66347,1.13378,1.13071,0.71049,0.60303,0.69058,0.49819,0.78023,0.5387,0.64461,0.39394,1.03177,2.6141,0.94788,1.05948,0.001585,0.001585,0.001585
87,13551.9,1.11199,2.6703,1.13281,1.1283,0.71137,0.60357,0.69058,0.49834,0.78336,0.53901,0.64426,0.394,1.03166,2.61241,0.94749,1.05936,0.001486,0.001486,0.001486
88,13714.4,1.11329,2.65919,1.12939,1.12867,0.71203,0.604,0.69091,0.49876,0.78563,0.53761,0.64463,0.39432,1.03134,2.61308,0.94641,1.05909,0.001387,0.001387,0.001387
89,13876,1.11187,2.65971,1.12669,1.13029,0.71381,0.60175,0.69089,0.49868,0.79414,0.53316,0.64566,0.39458,1.03109,2.61322,0.9456,1.05871,0.001288,0.001288,0.001288
90,14038.7,1.10002,2.64165,1.11455,1.12401,0.7096,0.60619,0.69101,0.49952,0.79584,0.53251,0.6451,0.39462,1.0309,2.6136,0.94504,1.05866,0.001189,0.001189,0.001189
91,14223.3,1.05878,2.49989,0.94652,1.07908,0.71522,0.59941,0.69074,0.49956,0.79387,0.53234,0.64486,0.39482,1.0307,2.6141,0.94465,1.05844,0.00109,0.00109,0.00109
92,14374.4,1.05153,2.47167,0.9337,1.07314,0.71671,0.59977,0.69114,0.4999,0.79156,0.53309,0.64532,0.39516,1.03047,2.61453,0.94393,1.05831,0.000991,0.000991,0.000991
93,14526.6,1.04509,2.45384,0.92371,1.07013,0.71495,0.60032,0.69085,0.50001,0.79389,0.53295,0.64594,0.39551,1.03024,2.6135,0.94289,1.05804,0.000892,0.000892,0.000892
94,14678.5,1.04055,2.44672,0.91537,1.06958,0.71509,0.60267,0.6908,0.50061,0.79491,0.5349,0.6462,0.39567,1.03011,2.61327,0.94243,1.05811,0.000793,0.000793,0.000793
95,14829.2,1.0383,2.44254,0.91015,1.06649,0.70751,0.60623,0.69139,0.5008,0.792,0.5351,0.64682,0.39628,1.02998,2.61389,0.94134,1.05785,0.000694,0.000694,0.000694
96,14978.9,1.03347,2.43513,0.90427,1.06425,0.70898,0.60581,0.69118,0.50137,0.77678,0.54214,0.64663,0.39626,1.02961,2.61509,0.94077,1.05766,0.000595,0.000595,0.000595
97,15129.2,1.03654,2.43973,0.90107,1.06438,0.71228,0.60568,0.69176,0.50198,0.77895,0.54164,0.64712,0.3964,1.02965,2.61579,0.94081,1.05771,0.000496,0.000496,0.000496
98,15278.4,1.03434,2.429,0.89593,1.06001,0.71266,0.60581,0.69215,0.5018,0.79445,0.53617,0.64741,0.39666,1.03005,2.61884,0.94048,1.05785,0.000397,0.000397,0.000397
99,15428.9,1.02869,2.40985,0.89085,1.06154,0.71199,0.60518,0.69193,0.50196,0.79351,0.53406,0.64756,0.39709,1.03015,2.61899,0.94048,1.05768,0.000298,0.000298,0.000298
100,15578.5,1.02262,2.41341,0.88397,1.05453,0.71126,0.60623,0.69193,0.5026,0.7954,0.53227,0.64762,0.39723,1.03022,2.62051,0.94063,1.05765,0.000199,0.000199,0.000199
