epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,8828.6,0.69062,0.78959,0.92618,0.53497,0.79338,0.65401,0.56481,0.60677,0.92666,0.87796,0.00109,0.00109,0.00109
92,9479.81,0.68594,0.78356,0.92558,0.53566,0.79292,0.6546,0.56549,0.60586,0.92566,0.87767,0.000991,0.000991,0.000991
93,10133.1,0.68352,0.77913,0.92362,0.53608,0.79371,0.65514,0.56617,0.60502,0.92516,0.87716,0.000892,0.000892,0.000892
94,10782,0.68053,0.77565,0.9233,0.53783,0.79239,0.65583,0.56693,0.60404,0.92494,0.87677,0.000793,0.000793,0.000793
95,11431,0.67779,0.7713,0.92244,0.53859,0.79166,0.65639,0.56766,0.60318,0.92509,0.87664,0.000694,0.000694,0.000694
96,12079.5,0.67598,0.76773,0.92244,0.53878,0.79112,0.6568,0.56815,0.60234,0.92513,0.87667,0.000595,0.000595,0.000595
97,12735.3,0.67266,0.76318,0.92024,0.53984,0.79015,0.65717,0.56858,0.60169,0.9249,0.87654,0.000496,0.000496,0.000496
98,13390.9,0.66946,0.75818,0.91952,0.54086,0.79012,0.65751,0.56893,0.60112,0.9248,0.87639,0.000397,0.000397,0.000397
99,14037.9,0.66801,0.7554,0.9179,0.54211,0.78912,0.65782,0.56929,0.60056,0.92514,0.87613,0.000298,0.000298,0.000298
100,14687,0.66526,0.75013,0.917,0.54216,0.78872,0.65798,0.56954,0.60024,0.92526,0.87583,0.000199,0.000199,0.000199
