epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,9854.55,1.19389,2.73654,1.27898,1.20643,0.70947,0.61528,0.69009,0.49617,0.71294,0.57276,0.64161,0.39424,1.05558,2.65754,1.02408,1.13051,0.005644,0.005644,0.005644
46,10060,1.1897,2.73193,1.26935,1.20251,0.70757,0.60992,0.6892,0.49537,0.72663,0.55812,0.63835,0.39461,1.05165,2.64924,1.02114,1.1285,0.005545,0.005545,0.005545
47,10259,1.18825,2.72304,1.27235,1.20269,0.69757,0.61557,0.68816,0.4947,0.72608,0.55258,0.63827,0.39387,1.05132,2.65046,1.02345,1.12826,0.005446,0.005446,0.005446
48,10459.8,1.18152,2.71739,1.25924,1.20175,0.7075,0.61576,0.68874,0.49455,0.70253,0.56569,0.6383,0.39421,1.05059,2.64519,1.02245,1.12722,0.005347,0.005347,0.005347
49,10665.7,1.18218,2.72674,1.26114,1.19915,0.70839,0.61198,0.68963,0.49534,0.70602,0.56482,0.63706,0.39478,1.04999,2.64807,1.01959,1.12746,0.005248,0.005248,0.005248
50,10875,1.17521,2.71023,1.25505,1.19443,0.7104,0.61451,0.69088,0.49673,0.69938,0.56753,0.63681,0.39528,1.0496,2.6483,1.01922,1.12691,0.005149,0.005149,0.005149
51,11084.3,1.17534,2.70881,1.24112,1.19481,0.7075,0.61797,0.69116,0.49733,0.70209,0.56494,0.6374,0.396,1.04992,2.64769,1.01782,1.12718,0.00505,0.00505,0.00505
52,11295.1,1.17727,2.70525,1.24658,1.193,0.70438,0.61501,0.69086,0.49811,0.7066,0.56765,0.63886,0.39688,1.05071,2.64668,1.01612,1.12741,0.004951,0.004951,0.004951
53,11510.2,1.17204,2.69182,1.23762,1.19192,0.72035,0.60439,0.69197,0.49874,0.71831,0.5674,0.64013,0.39735,1.05158,2.64721,1.01672,1.12778,0.004852,0.004852,0.004852
54,11728.5,1.17018,2.69619,1.23595,1.18772,0.7296,0.60115,0.69175,0.4989,0.71759,0.56935,0.63945,0.39788,1.05131,2.64731,1.01606,1.12649,0.004753,0.004753,0.004753
55,11938.8,1.16388,2.67875,1.22841,1.18842,0.71795,0.61103,0.69202,0.49897,0.71812,0.57167,0.64118,0.39863,1.05104,2.64754,1.0158,1.12653,0.004654,0.004654,0.004654
56,12142,1.16671,2.68817,1.22151,1.19011,0.71858,0.61438,0.69105,0.49882,0.71486,0.57636,0.64296,0.3998,1.04974,2.64856,1.015,1.12613,0.004555,0.004555,0.004555
57,12341.3,1.16097,2.67071,1.22099,1.18944,0.71624,0.61374,0.69137,0.49971,0.71496,0.57051,0.64164,0.39982,1.04763,2.64946,1.01243,1.12468,0.004456,0.004456,0.004456
58,12537.7,1.16374,2.67245,1.22269,1.18699,0.71967,0.61479,0.6916,0.50051,0.71713,0.57128,0.64245,0.40003,1.04607,2.6416,1.01085,1.12335,0.004357,0.004357,0.004357
59,12739.8,1.15875,2.67772,1.21169,1.18297,0.7221,0.60886,0.6919,0.50121,0.71712,0.56862,0.64284,0.40018,1.04449,2.63802,1.01004,1.12227,0.004258,0.004258,0.004258
