epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5821.85,1.21791,2.80623,1.28215,1.1755,0.72115,0.56124,0.65154,0.46741,0.70137,0.53333,0.60168,0.36926,1.08867,2.71158,1.04396,1.09255,0.006139,0.006139,0.006139
41,5960.95,1.21817,2.81406,1.27678,1.17585,0.72377,0.56255,0.65352,0.46784,0.71558,0.53278,0.60352,0.37171,1.0852,2.70335,1.03757,1.09282,0.00604,0.00604,0.00604
42,6103.34,1.21017,2.79509,1.26278,1.16967,0.72684,0.56182,0.65786,0.47152,0.72244,0.52875,0.60687,0.37336,1.08274,2.70987,1.03042,1.08967,0.005941,0.005941,0.005941
43,6247.2,1.20219,2.78992,1.26005,1.1705,0.72988,0.56375,0.66085,0.47222,0.7216,0.53034,0.61037,0.37433,1.08258,2.69582,1.02832,1.09155,0.005842,0.005842,0.005842
44,6383.84,1.20956,2.81263,1.25682,1.16781,0.7497,0.55885,0.66302,0.47313,0.74194,0.53055,0.61405,0.37567,1.07987,2.68901,1.02624,1.0914,0.005743,0.005743,0.005743
45,6521.04,1.19986,2.79141,1.25766,1.16356,0.74233,0.56588,0.66538,0.47431,0.72197,0.54613,0.61499,0.37758,1.07649,2.68618,1.02127,1.08973,0.005644,0.005644,0.005644
46,6660.04,1.19683,2.78452,1.24945,1.16261,0.74368,0.56446,0.66295,0.4736,0.72737,0.54141,0.61532,0.37775,1.07511,2.68315,1.01915,1.0898,0.005545,0.005545,0.005545
47,6798.73,1.20681,2.78294,1.2554,1.166,0.73431,0.57111,0.6635,0.47566,0.7241,0.54987,0.61695,0.37699,1.07221,2.6804,1.01816,1.08873,0.005446,0.005446,0.005446
48,6937.42,1.19175,2.7741,1.23552,1.16227,0.72311,0.57201,0.66574,0.47518,0.71832,0.54626,0.61805,0.37806,1.0706,2.67501,1.01639,1.08731,0.005347,0.005347,0.005347
49,7076.04,1.18995,2.77866,1.23106,1.15991,0.73172,0.5713,0.6679,0.47713,0.72752,0.5422,0.62063,0.37893,1.07023,2.67197,1.01396,1.0863,0.005248,0.005248,0.005248
